act.;actor
a.;author
beg.;accompaniment
bew.;adaptation
cadensschr.;cadenza
choreogr.;choreographer
comm.;commenter
c.;composer
kop.;copyist
dir.;conductor
ed.;editor
prod.;producer
sign.;signature
red.;redactor
ill.;illustrator
impr.;printer
inl.;preface
perf.;performer
docent;teacher
tekstd.;lyricist
medium;
thema;
tech.;technician
optek.;recorder
prod.;producer
pseudo.;pseudonym
reconstr.;reconstruction
reg.;director
samenst.;compiler
scen.;scriptwriter
vert.;translator
volt.;completion
arr.;arranger
